상품명,키워드,쿠팡링크,카테고리,가격,할인율,로켓정보,평점,리뷰수,상품군,계절태그,대상독자,사용장소,문제상황,장점1,장점2,장점3,주의점,글관점,제목시드,썸네일프롬프트,CTA문구,used,used_at,post_title
"Darlisex 서큘레이터 선풍기 무소음 가정용 써큘레이터 스마트 리모컨 무선 탁상용 선풍기, FN298-베이지",무선 Darlisex 서큘레이터,https://www.coupang.com/vp/products/9453327978,가전디지털,"22,700원",50,"로켓판매자, 내일도착",4.5,106,,,,,,,,,,,,,,,,
"가드릭 초미니 접이식 휴대용 손선풍기 급속냉각 목걸이 에어컨 포켓 손선풍기, 화이트, N620C",초미니 휴대용 가드릭,https://www.coupang.com/vp/products/9452299539,가전디지털,"21,300원",40,"로켓판매자, 내일도착",5.0,71,,,,,,,,,,,,,,Y,2026-05-28 14:09:24,실외기 없는 에어컨 원룸 장단점과 대체 냉방 구매 전 확인
"삼성전자 인버터 제습기 18L, AY70H18100GVD",삼성전자 인버터 제습기,https://www.coupang.com/vp/products/9398164042,가전디지털,"383,000원",43,"로켓배송, 내일도착",5.0,140,,,,,,,,,,,,,,,,
휴앤봇 업소용 대형 선풍기 공업용 업소용 산업용 앉은뱅이 20인치 HNB-508F,휴앤봇 업소용 대형,https://www.coupang.com/vp/products/5003379625,가전디지털,"65,600원",30,"로켓판매자, 내일도착",5.0,115,,,,,,,,,,,,,,,,
"하이엔드 신형 급속냉각 리모컨 냉풍기 이동식 에어쿨러, 단일 모델",하이엔드 급속냉각 리모컨,https://www.coupang.com/vp/products/9481991807,가전디지털,"74,700원",42,"로켓판매자, 내일도착",5.0,251,,,,,,,,,,,,,,Y,2026-05-28 14:09:24,실외기 없는 에어컨 원룸 장단점과 대체 냉방 구매 전 확인
"홈플래닛 벽걸이형 선풍기, NDB1706",홈플래닛 벽걸이형 선풍기,https://www.coupang.com/vp/products/6382601626,가전디지털,"23,830원",0,"로켓배송, 내일도착",4.5,3133,,,,,,,,,,,,,,Y,2026-05-28 18:08:35,작은방 에어컨 평수 5평 7평 9평 냉방면적 선택 가이드
"5세대 저소음 BLDC 모터 날개없는 선풍기 무드등 타워형 리모컨 선풍기, HFW5329R",저소음 5세대,https://www.coupang.com/vp/products/9479853009,가전디지털,"138,500원",48,"로켓판매자, 내일도착",5.0,435,,,,,,,,,,,,,,,,
"탁상용 선풍기 휴대용 무선 클립형 선풍기, 흰색, 1개",휴대용 무선 탁상용,https://www.coupang.com/vp/products/9443309208,가전디지털,"7,830원",71,"로켓판매자, 내일도착",3.0,99,,,,,,,,,,,,,,,,
"LG 휘센 호환 냉난방 에어컨 리모컨, LG5806-A, 1개",LG 휘센 호환,https://www.coupang.com/vp/products/4751384906,가전디지털,"5,500원",0,"로켓배송, 내일도착",4.5,2468,,,,,,,,,,,,,,Y,2026-05-28 18:08:35,작은방 에어컨 평수 5평 7평 9평 냉방면적 선택 가이드
"샤오미 스마트 스탠딩 BLDC 선풍기2, BPLDS02DM",샤오미 스마트 스탠딩,https://www.coupang.com/vp/products/5359258845,가전디지털,"89,800원",11,"로켓배송, 내일도착",4.5,5338,,,,,,,,,,,,,,,,
"유니맥스 초미풍 발터치 리모콘 선풍기, UMF-16408R",유니맥스 초미풍 발터치,https://www.coupang.com/vp/products/8115220456,가전디지털,"38,800원",49,"로켓배송, 내일도착",4.5,29989,,,,,,,,,,,,,,,,
"홈플래닛 급속 냉각 에어컨 휴대용 손 선풍기 + 스트랩, 화이트",휴대용 홈플래닛 급속,https://www.coupang.com/vp/products/8700920081,가전디지털,"15,990원",53,"로켓배송, 내일도착",4.5,985,,,,,,,,,,,,,,,,
"오브셀 휴대용 선풍기 초강력 무소음 빅팬 SDOB-200, 카키, SDOB-200KH",휴대용 오브셀,https://www.coupang.com/vp/products/9428217504,가전디지털,"35,900원",39,"로켓판매자, 내일도착",5.0,59,,,,,,,,,,,,,,,,
"저소음 스탠드 선풍기 가정용 거실용 업소용 사무실 대형 16인치, NEW 코지 화이트 16인치",저소음 사무실,https://www.coupang.com/vp/products/9499589327,가전디지털,"54,400원",60,"로켓판매자, 내일도착",5.0,131,,,,,,,,,,,,,,,,
"국산 월트리 천장형 에어컨실링팬 시스템 에어컨바람막이 바람개비 날개 순환팬 가드 프로펠러, 1세트, 화이트",국산 월트리 천장형,https://www.coupang.com/vp/products/9480901352,가전디지털,"17,950원",28,"로켓판매자, 내일도착",4.5,718,,,,,,,,,,,,,,,,
"블라우풍트 에어튠 120 펠티어 쿨링 BLDC 핸디 휴대용 선풍기, 화이트, BLP-PF101W",휴대용 블라우풍트 에어튠,https://www.coupang.com/vp/products/9468421869,가전디지털,"18,900원",42,"로켓배송, 내일도착",5.0,1433,,,,,,,,,,,,,,,,
"JJBB 우주인 유아 휴대용 목에거는 무소음 선풍기, 화이트, MF040",휴대용 JJBB 우주인,https://www.coupang.com/vp/products/6568429224,가전디지털,"10,360원",42,"로켓판매자, 내일도착",4.5,165,,,,,,,,,,,,,,,,
"홈플래닛 리모컨 서큘레이터 선풍기, NDL666R",홈플래닛 리모컨 서큘레이터,https://www.coupang.com/vp/products/5472150417,가전디지털,"33,990원",20,"로켓배송, 내일도착",4.5,4235,,,,,,,,,,,,,,,,
"신일 스탠드형 선풍기, SIF-T16CUP",신일 스탠드형 선풍기,https://www.coupang.com/vp/products/6536913779,가전디지털,"66,130원",44,"로켓배송, 내일도착",4.5,682,,,,,,,,,,,,,,,,
"Rotima 무선 탁상용 선풍기 타이머 자동회전 써큘레이터, 화이트, TF9",무선 Rotima,https://www.coupang.com/vp/products/9426284039,가전디지털,"27,900원",78,"로켓판매자, 내일도착",5.0,1325,,,,,,,,,,,,,,,,
"홈플래닛 스탠드형 서큘레이터, DXH-S19",홈플래닛 스탠드형 서큘레이터,https://www.coupang.com/vp/products/7942116118,가전디지털,"29,990원",28,"로켓배송, 내일도착",4.5,204,,,,,,,,,,,,,,,,
"구스페리 아이스팩 휴대용 넥밴드 선풍기 대용량 배터리, Type-C 3.0, 핑크",휴대용 구스페리 아이스팩,https://www.coupang.com/vp/products/6626295538,가전디지털,"20,600원",58,"로켓배송, 내일도착",4.5,3298,,,,,,,,,,,,,,,,
"편안한42 흡입식 모기퇴치기 무소음 USB 가정용 포충기, 블랙 MK08",편안한42 흡입식 모기퇴치기,https://www.coupang.com/vp/products/9522446467,가전디지털,"15,800원",47,"로켓판매자, 내일도착",4.5,52,,,,,,,,,,,,,,,,
"PLEIGO 초경량 휴대용 미니 건전지 선풍기, F11, 아이보리",휴대용 미니 PLEIGO,https://www.coupang.com/vp/products/8065060877,가전디지털,"3,590원",39,"로켓배송, 내일도착",4.5,141,,,,,,,,,,,,,,,,
"BEO 미니 무선 가습기 사무실용 탁상용 휴대용 차량용 무소음 가습기, 모던화이트",미니 무선 사무실용,https://www.coupang.com/vp/products/9129523350,가전디지털,"19,900원",66,"로켓판매자, 내일도착",4.5,759,,,,,,,,,,,,,,,,
"유파 초미풍 발터치 리모컨선풍기, TSK-3528CR",유파 초미풍 발터치,https://www.coupang.com/vp/products/88283704,가전디지털,"30,900원",55,"로켓배송, 내일도착",4.5,4864,,,,,,,,,,,,,,,,
"아이셀로 저소음 7날 휴대용 미니 손풍기 무선 선풍기, 화이트",저소음 휴대용 미니,https://www.coupang.com/vp/products/9537186446,가전디지털,"7,800원",53,"로켓판매자, 내일도착",5.0,51,,,,,,,,,,,,,,,,
"5세대 미니 에어쿨러 냉풍기 이동식 휴대용 에어컨, 모던화이트",미니 휴대용 5세대,https://www.coupang.com/vp/products/9484701945,가전디지털,"79,500원",53,"로켓판매자, 내일도착",5.0,342,,,,,,,,,,,,,,,,
"솔러스에어 탁상용 선풍기, AIR604TFG, 그레이",솔러스에어 탁상용 선풍기,https://www.coupang.com/vp/products/7198589347,가전디지털,"32,800원",52,"로켓배송, 내일도착",5.0,5571,,,,,,,,,,,,,,,,
"PERFFIER 가성비 급속 냉각 휴대용 미니 무선 손선풍기 탁상용 겸용 4000mAh대용량 배터리 각도 조절 초경량 설계 저소음 작동 5단계 풍속 조절 LED 잔량 표시, 화이트, T40",가성비 휴대용 미니,https://www.coupang.com/vp/products/9407424626,가전디지털,"19,800원",66,"로켓판매자, 내일도착",5.0,1752,,,,,,,,,,,,,,,,
"1+1 미니 무선 클립형 휴대용 선풍기 360도 회전 충전식 무드등 조명 다기능 탁상용 벽걸이 무소음 선풍기 유모차 캠핑, 화이트, F50 [1+1]",미니 무선 휴대용,https://www.coupang.com/vp/products/8720073144,가전디지털,"20,580원",31,"로켓판매자, 내일도착",4.0,817,,,,,,,,,,,,,,,,
"Darlisex 무선 탁상용 선풍기 무소음 에어 써큘레이터, 흰색",무선 Darlisex,https://www.coupang.com/vp/products/8746855898,가전디지털,"13,990원",33,"로켓판매자, 내일도착",4.0,448,,,,,,,,,,,,,,,,
"신일 좌석용 선풍기, SIF-14TWS",신일 좌석용 선풍기,https://www.coupang.com/vp/products/8075426128,가전디지털,"62,900원",60,"로켓배송, 내일도착",5.0,2797,,,,,,,,,,,,,,,,
"LG 휘센 냉난방 에어컨 리모컨, PT-05WAH, 1개",LG 휘센 냉난방,https://www.coupang.com/vp/products/4543868801,가전디지털,"7,070원",0,"로켓배송, 내일도착",5.0,533,,,,,,,,,,,,,,Y,2026-05-29 15:59:49,창문형 에어컨 자가설치 방문설치 차이와 설치키트 비용 체크포인트
"르젠 스탠드 리모컨 서큘레이터 선풍기, LZEF-AR390(릴리화이트)",르젠 스탠드 리모컨,https://www.coupang.com/vp/products/5684920782,가전디지털,"68,800원",46,"로켓배송, 내일도착",4.5,1254,,,,,,,,,,,,,,,,
"홈플래닛 넥풍기 휴대용 목걸이 선풍기, HF370, 화이트",휴대용 홈플래닛 넥풍기,https://www.coupang.com/vp/products/5172472350,가전디지털,"22,990원",32,"로켓배송, 내일도착",4.5,6531,,,,,,,,,,,,,,,,
"탁상용 선풍기 무소음 벽걸이 선풍기, 블랙, 500mah",탁상용 선풍기 무소음,https://www.coupang.com/vp/products/9466567809,가전디지털,"8,900원",60,"로켓판매자, 내일도착",4.0,83,,,,,,,,,,,,,,,,
"카프 휴대용 무선 충전식 초소형 BLDC 모터 키링 미니 핸디 선풍기, KF-SHF05, 핑크",휴대용 무선 미니,https://www.coupang.com/vp/products/8692714483,가전디지털,"9,900원",56,"로켓배송, 내일도착",5.0,591,,,,,,,,,,,,,,,,
"엔보우 모노미니 탁상용 무선 선풍기, MONO MINI, 샌드베이지",모노미니 무선 엔보우,https://www.coupang.com/vp/products/8159651990,가전디지털,"14,900원",0,"로켓배송, 내일도착",5.0,1486,,,,,,,,,,,,,,,,
"트리톤 초절전 전기 모기퇴치기 업소용 가정용 무소음 벌레 해충 날파리 포충기, RK-W08",트리톤 초절전 전기,https://www.coupang.com/vp/products/8728907504,가전디지털,"23,900원",36,"로켓판매자, 내일도착",4.5,320,,,,,,,,,,,,,,,,
"프롬비 미스트 사일런트스톰 저소음 휴대용 선풍기, 스노우화이트, FH282",저소음 휴대용 프롬비,https://www.coupang.com/vp/products/9513892952,가전디지털,"34,800원",41,"로켓판매자, 내일도착",5.0,289,,,,,,,,,,,,,,,,
"송흥 고속 휴대용 선풍기 미니 손선풍기 USB 충전 대용량 배터리 0~100단 5단계 조절, 화이트",휴대용 미니 송흥,https://www.coupang.com/vp/products/8758924293,가전디지털,"9,450원",51,"로켓판매자, 내일도착",5.0,576,,,,,,,,,,,,,,,,
"유로파크 30cm날개 데스크탑 선풍기, 블루, EU-128KN",유로파크 30cm날개 데스크탑,https://www.coupang.com/vp/products/8736452087,가전디지털,"29,000원",44,"로켓배송, 내일도착",4.5,24,,,,,,,,,,,,,,,,
"18인치 대형 벽걸이 선풍기 45cm 강력바람 업소용 가정용, 대형 벽걸이선풍기",18인치 대형 벽걸이,https://www.coupang.com/vp/products/9504473551,가전디지털,"49,900원",37,"로켓판매자, 내일도착",5.0,11,,,,,,,,,,,,,,,,
"한경희생활과학 스탠드 선풍기, HAAN-HDC240",한경희생활과학 스탠드 선풍기,https://www.coupang.com/vp/products/8057117184,가전디지털,"33,900원",31,"로켓배송, 내일도착",4.0,812,,,,,,,,,,,,,,,,
"델루체 초미세풍 발터치 리모컨 선풍기 35cm, DLF-FR14WB",델루체 초미세풍 발터치,https://www.coupang.com/vp/products/9479220059,가전디지털,"29,400원",53,"로켓배송, 내일도착",4.5,86,,,,,,,,,,,,,,,,
"한경희생활과학 벽걸이 선풍기 40cm, HAAN-WF316M",한경희생활과학 벽걸이 선풍기,https://www.coupang.com/vp/products/8115202683,가전디지털,"31,900원",30,"로켓배송, 내일도착",4.5,733,,,,,,,,,,,,,,,,
"썬더 탁상용 선풍기 충전식 유무선 겸용 BLDC 저소음 스탠드형 미니 선풍기_FINE-FAN2405, 화이트",유무선 저소음 미니,https://www.coupang.com/vp/products/8159216430,가전디지털,"9,940원",22,"로켓판매자, 내일도착",5.0,374,,,,,,,,,,,,,,,,
"필립스 미니 공기청정기 600 시리즈 19.7㎡, AC0650/10, 화이트",미니 필립스,https://www.coupang.com/vp/products/7487533628,가전디지털,"93,300원",60,"로켓배송, 내일도착",4.5,866,,,,,,,,,,,,,,,,
"크레모아 클립팬 휴대용 선풍기, CLEN-CL01BLG, 라이트그레이",휴대용 크레모아 클립팬,https://www.coupang.com/vp/products/8847745701,가전디지털,"27,200원",20,"로켓배송, 내일도착",4.5,72,,,,,,,,,,,,,,,,
"YEXXI 급속냉각 휴대용 선풍기 미니 핸디 무선 손풍기 접이식 각도조절 손선풍기, 화이트, F8",휴대용 미니 무선,https://www.coupang.com/vp/products/8721869552,가전디지털,"17,900원",86,"로켓판매자, 내일도착",4.5,3932,,,,,,,,,,,,,,,,
"아이노트 플렉시블 클립 선풍기, TBC100, 화이트",아이노트 플렉시블 클립,https://www.coupang.com/vp/products/8220413734,가전디지털,"19,800원",33,"로켓배송, 내일도착",5.0,653,,,,,,,,,,,,,,,,
"휴이든 7엽날개 써큘레이터 스탠드형 선풍기 35cm, HDF-14WH",휴이든 7엽날개 써큘레이터,https://www.coupang.com/vp/products/9507178152,가전디지털,"26,900원",3,"로켓배송, 내일도착",4.0,16,,,,,,,,,,,,,,,,
"대한 천장형 윈드플렉스 에어컨 투명 바람막이 부착형 가림막 가드, WV-CL, 1개",대한 천장형 윈드플렉스,https://www.coupang.com/vp/products/8113151460,가전디지털,"14,800원",47,"로켓배송, 내일도착",4.5,1291,,,,,,,,,,,,,,Y,2026-05-29 15:59:49,창문형 에어컨 자가설치 방문설치 차이와 설치키트 비용 체크포인트
"감성전자 슬림 쿼드 무선 저소음 초미풍 탁상용 사무실 선풍기, CM-S2400, 코튼베이지",무선 저소음 사무실,https://www.coupang.com/vp/products/8951723508,가전디지털,"13,800원",0,"로켓배송, 내일도착",5.0,426,,,,,,,,,,,,,,,,
"디프롬 스탠드 저소음 탁상용 선풍기 1+1, 네이비+네이비, KY-A218",저소음 디프롬 스탠드,https://www.coupang.com/vp/products/9538958105,가전디지털,"10,980원",31,"로켓판매자, 내일도착",4.0,1076,,,,,,,,,,,,,,,,
"독일 무소음 BLDC 써큘레이터 가정용 360도 회전 선풍기 리모컨 직진거리 20M, 프리미엄 에어 화이트/ZMF-R1094CCD",독일 무소음 BLDC,https://www.coupang.com/vp/products/9487874054,가전디지털,"129,000원",38,"로켓판매자, 내일도착",5.0,166,,,,,,,,,,,,,,,,
"델루체 벽걸이형 리모컨 선풍기, DLF-RN1692",델루체 벽걸이형 리모컨,https://www.coupang.com/vp/products/9517427691,가전디지털,"28,900원",42,"로켓배송, 내일도착",4.5,26,,,,,,,,,,,,,,,,
"데이앤에어 저소음 리모컨 팬큘레이터 선풍기 써큘레이터 가정용, 리모컨 모델",저소음 데이앤에어,https://www.coupang.com/vp/products/9469952645,가전디지털,"68,900원",42,"로켓판매자, 내일도착",5.0,181,,,,,,,,,,,,,,,,
"NUNUHANA USB충전팬 휴대용 탁상용 목걸이 핸디 선풍기, 화이트, DS18",휴대용 NUNUHANA USB충전팬,https://www.coupang.com/vp/products/7415491590,가전디지털,"9,700원",62,"로켓판매자, 내일도착",4.5,2084,,,,,,,,,,,,,,,,
신일 26년 최고급 국내생산 써큘레이터형 BLDC 선풍기 SIF-L14DCM,신일 26년 최고급,https://www.coupang.com/vp/products/8719206101,가전디지털,"137,820원",30,"로켓판매자, 내일도착",4.5,48,,,,,,,,,,,,,,,,
"듀플렉스 LED 전기 모기퇴치기, DP-12IK",듀플렉스 LED 전기,https://www.coupang.com/vp/products/222173797,가전디지털,"26,800원",62,"로켓배송, 내일도착",4.5,14719,,,,,,,,,,,,,,,,
"[2026년형] 한일의료기 원적외선 프리미엄 탄소열선 전기요 그레이 트리 (대형 2인용 135*180 CM), 135 x 180cm",2026년형 한일의료기 원적외선,https://www.coupang.com/vp/products/9304849478,가전디지털,"36,800원",58,"로켓판매자, 내일도착",4.5,1858,,,,,,,,,,,,,,,,
