상품명,키워드,상품원본URL,쿠팡링크,상품이미지URL,상품ID,아이템ID,카테고리,가격,할인율,로켓정보,평점,리뷰수,점수,click_priority,가격대,상품군,계절태그,대상독자,사용장소,문제상황,불편포인트,장점1,장점2,장점3,주의점,검색의도,글관점,제목시드,썸네일프롬프트,CTA문구,광고고지문,수집경로,수집키워드,수집순위,수집일시,used,used_at,post_title
"도드람한돈 앞다리 불고기용 1등급 (냉장), 500g, 1개",도드람한돈 앞다리 불고기용,https://www.coupang.com/vp/products/1407471893?itemId=466627359,https://www.coupang.com/vp/products/1407471893?itemId=466627359,,1407471893,466627359,식품,"8,560원",0,,4.5,53368,395.0,high,1만원 미만,반찬/식재료,사계절,"집밥을 자주 먹는 가정, 간단한 반찬을 준비하는 사람","주방, 냉장고, 냉동실, 팬트리",집밥 반찬이나 조리용 식재료를 미리 준비하고 싶을 때,보관 방식과 조리 난이도를 놓치면 활용도가 낮아질 수 있음,"반찬용, 조리용, 비상식품용으로 쓰임이 분명함",용량과 포장 단위를 비교하기 좋음,냉장/냉동/상온 보관 여부가 판단 기준이 됨,"보관 조건, 조리법, 소비기한, 원재료 정보를 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","집밥을 자주 먹는 가정, 간단한 반찬을 준비하는 사람 기준으로 도드람한돈 앞다리 불고기용 고를 때 보기 쉬운 구매 전 체크","도드람한돈 앞다리 불고기용를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 주방, 냉장고, 냉동실, 팬트리 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"신라면 120g, 20개",신라면 120g 20개,https://www.coupang.com/vp/products/7958974?itemId=20493837289,https://www.coupang.com/vp/products/7958974?itemId=20493837289,,7958974,20493837289,식품,"15,790원",0,"로켓배송, 내일도착",5.0,803892,415.0,high,1만-3만원대,라면/간편식,사계절,"자취생, 야식이 잦은 사람, 사무실 간식이나 비상식을 준비하는 사람","자취방, 주방 수납장, 사무실 탕비실",간단히 먹을 비상식품이나 자취방 간편식을 미리 준비하고 싶을 때,"묶음 개수와 보관 공간, 소비기한을 생각하지 않으면 남기기 쉬움",개수와 개당 가격 비교가 구매 판단에 직접 연결됨,보관성이 좋아 비상식품으로 확인하기 쉬움,"가족용, 자취용, 사무실용으로 용도가 뚜렷함","나트륨, 소비기한, 보관 공간, 묶음 개수를 함께 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","자취생, 야식이 잦은 사람, 사무실 간식이나 비상식을 준비하는 사람 기준으로 신라면 120g 20개 고를 때 보기 쉬운 구매 전 체크","신라면 120g 20개를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 자취방, 주방 수납장, 사무실 탕비실 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"농심 짜파게티 140g, 40개",농심 짜파게티 140g,https://www.coupang.com/vp/products/8821592139?itemId=18489186161,https://www.coupang.com/vp/products/8821592139?itemId=18489186161,,8821592139,18489186161,식품,"35,510원",0,"로켓배송, 내일도착",5.0,476249,415.0,high,3만-7만원대,라면/간편식,사계절,"자취생, 야식이 잦은 사람, 사무실 간식이나 비상식을 준비하는 사람","자취방, 주방 수납장, 사무실 탕비실",간단히 먹을 비상식품이나 자취방 간편식을 미리 준비하고 싶을 때,"묶음 개수와 보관 공간, 소비기한을 생각하지 않으면 남기기 쉬움",개수와 개당 가격 비교가 구매 판단에 직접 연결됨,보관성이 좋아 비상식품으로 확인하기 쉬움,"가족용, 자취용, 사무실용으로 용도가 뚜렷함","나트륨, 소비기한, 보관 공간, 묶음 개수를 함께 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","자취생, 야식이 잦은 사람, 사무실 간식이나 비상식을 준비하는 사람 기준으로 농심 짜파게티 140g 고를 때 보기 쉬운 구매 전 체크","농심 짜파게티 140g를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 자취방, 주방 수납장, 사무실 탕비실 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"나랑드사이다 제로, 500ml, 24개",나랑드사이다 제로 500ml,https://www.coupang.com/vp/products/8180059688?itemId=21498094150,https://www.coupang.com/vp/products/8180059688?itemId=21498094150,,8180059688,21498094150,식품,"16,960원",8,"로켓배송, 내일도착",5.0,156047,415.0,high,1만-3만원대,음료/탄산음료,"사계절, 여름","음료를 자주 마시는 가정, 사무실 탕비실, 손님용 음료를 준비하는 사람","냉장고, 주방, 사무실 탕비실, 팬트리",집이나 사무실에 마실 음료를 박스 단위로 미리 준비하고 싶을 때,"개수와 가격만 보면 당류, 카페인, 보관 공간을 놓치기 쉬움",개수와 용량을 기준으로 비교하기 좋음,"제로, 소용량, 대용량처럼 선택 기준이 뚜렷함",가정용과 사무실용으로 쓰임이 분명함,"당류, 카페인, 보관 공간, 캔이나 페트 용량을 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","음료를 자주 마시는 가정, 사무실 탕비실, 손님용 음료를 준비하는 사람 기준으로 나랑드사이다 제로 500ml 고를 때 보기 쉬운 구매 전 체크","나랑드사이다 제로 500ml를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 냉장고, 주방, 사무실 탕비실, 팬트리 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"포카리스웨트 무라벨, 340ml, 40개",포카리스웨트 무라벨 340ml,https://www.coupang.com/vp/products/8544933292?itemId=548226098,https://www.coupang.com/vp/products/8544933292?itemId=548226098,,8544933292,548226098,식품,"30,000원",0,"로켓배송, 내일도착",5.0,193320,415.0,high,3만-7만원대,생수/음료,"사계절, 여름","생수를 박스로 사두는 가정, 자취생, 사무실 탕비실 담당자","주방, 현관 옆 보관 공간, 사무실, 탕비실",생수를 매번 사러 가기 번거롭고 집이나 사무실에 미리 준비해두고 싶을 때,"용량과 개수, 보관 공간, 배송 무게를 같이 보지 않으면 주문 후 불편할 수 있음",반복 구매 수요가 높아 구성과 개수 비교가 중요함,500ml와 2L처럼 사용 상황에 따라 선택 기준이 분명함,무라벨 여부와 보관 편의성을 함께 판단하기 좋음,"박스 단위 무게, 보관 공간, 병 용량을 구매 전에 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","생수를 박스로 사두는 가정, 자취생, 사무실 탕비실 담당자 기준으로 포카리스웨트 무라벨 340ml 고를 때 보기 쉬운 구매 전 체크","포카리스웨트 무라벨 340ml를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 주방, 현관 옆 보관 공간, 사무실, 탕비실 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"탐사 샘물, 2L, 18개",탐사 샘물 2L,https://www.coupang.com/vp/products/7689270513?itemId=20877904725,https://www.coupang.com/vp/products/7689270513?itemId=20877904725,,7689270513,20877904725,식품,"8,690원",41,"로켓배송, 내일도착",5.0,328434,405.0,high,1만원 미만,생수/음료,"사계절, 여름","생수를 박스로 사두는 가정, 자취생, 사무실 탕비실 담당자","주방, 현관 옆 보관 공간, 사무실, 탕비실",생수를 매번 사러 가기 번거롭고 집이나 사무실에 미리 준비해두고 싶을 때,"용량과 개수, 보관 공간, 배송 무게를 같이 보지 않으면 주문 후 불편할 수 있음",반복 구매 수요가 높아 구성과 개수 비교가 중요함,500ml와 2L처럼 사용 상황에 따라 선택 기준이 분명함,무라벨 여부와 보관 편의성을 함께 판단하기 좋음,"박스 단위 무게, 보관 공간, 병 용량을 구매 전에 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","생수를 박스로 사두는 가정, 자취생, 사무실 탕비실 담당자 기준으로 탐사 샘물 2L 고를 때 보기 쉬운 구매 전 체크","탐사 샘물 2L를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 주방, 현관 옆 보관 공간, 사무실, 탕비실 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"사조참치 살코기 안심따개, 100g, 12개",사조참치 살코기 안심따개,https://www.coupang.com/vp/products/6858666780?itemId=27469392,https://www.coupang.com/vp/products/6858666780?itemId=27469392,,6858666780,27469392,식품,"16,640원",0,"로켓배송, 내일도착",5.0,195366,415.0,high,1만-3만원대,반찬/식재료,사계절,"집밥을 자주 먹는 가정, 간단한 반찬을 준비하는 사람","주방, 냉장고, 냉동실, 팬트리",집밥 반찬이나 조리용 식재료를 미리 준비하고 싶을 때,보관 방식과 조리 난이도를 놓치면 활용도가 낮아질 수 있음,"반찬용, 조리용, 비상식품용으로 쓰임이 분명함",용량과 포장 단위를 비교하기 좋음,냉장/냉동/상온 보관 여부가 판단 기준이 됨,"보관 조건, 조리법, 소비기한, 원재료 정보를 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","집밥을 자주 먹는 가정, 간단한 반찬을 준비하는 사람 기준으로 사조참치 살코기 안심따개 고를 때 보기 쉬운 구매 전 체크","사조참치 살코기 안심따개를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 주방, 냉장고, 냉동실, 팬트리 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"맥심 화이트골드 커피믹스, 11.7g, 160개입, 2개",맥심 화이트골드 커피믹스,https://www.coupang.com/vp/products/8290008156?itemId=2251502857,https://www.coupang.com/vp/products/8290008156?itemId=2251502857,,8290008156,2251502857,식품,"48,270원",0,"로켓배송, 내일도착",5.0,308058,415.0,high,3만-7만원대,커피/음료,사계절,"사무실 탕비실, 자취방, 집에서 커피를 자주 마시는 사람","탕비실, 책상, 주방, 사무실 냉장고",집이나 사무실에서 커피를 자주 마셔서 넉넉한 구성을 미리 준비하고 싶을 때,"개수와 용량만 보고 고르면 당류, 카페인, 보관 공간을 놓치기 쉬움",개수 대비 가격과 소비 속도를 같이 보기 좋음,"사무실용, 집비치용처럼 사용 목적이 분명함",로켓배송과 대량 구성 확인 수요가 높은 편,"당류, 카페인, 유통기한, 보관 공간은 상세정보에서 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","사무실 탕비실, 자취방, 집에서 커피를 자주 마시는 사람 기준으로 맥심 화이트골드 커피믹스 고를 때 보기 쉬운 구매 전 체크","맥심 화이트골드 커피믹스를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 탕비실, 책상, 주방, 사무실 냉장고 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"아몬드브리즈 언스위트, 950ml, 10개",아몬드브리즈 언스위트 950ml,https://www.coupang.com/vp/products/329389373?itemId=24968631471,https://www.coupang.com/vp/products/329389373?itemId=24968631471,,329389373,24968631471,식품,"26,900원",25,"로켓배송, 내일도착",5.0,151590,415.0,high,1만-3만원대,음료/탄산음료,"사계절, 여름","음료를 자주 마시는 가정, 사무실 탕비실, 손님용 음료를 준비하는 사람","냉장고, 주방, 사무실 탕비실, 팬트리",집이나 사무실에 마실 음료를 박스 단위로 미리 준비하고 싶을 때,"개수와 가격만 보면 당류, 카페인, 보관 공간을 놓치기 쉬움",개수와 용량을 기준으로 비교하기 좋음,"제로, 소용량, 대용량처럼 선택 기준이 뚜렷함",가정용과 사무실용으로 쓰임이 분명함,"당류, 카페인, 보관 공간, 캔이나 페트 용량을 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","음료를 자주 마시는 가정, 사무실 탕비실, 손님용 음료를 준비하는 사람 기준으로 아몬드브리즈 언스위트 950ml 고를 때 보기 쉬운 구매 전 체크","아몬드브리즈 언스위트 950ml를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 냉장고, 주방, 사무실 탕비실, 팬트리 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"펩시 제로 슈거 라임향 제로 카페인, 355ml, 24개",펩시 제로 슈거,https://www.coupang.com/vp/products/8680308800?itemId=25871169810,https://www.coupang.com/vp/products/8680308800?itemId=25871169810,,8680308800,25871169810,식품,"16,260원",0,"로켓배송, 내일도착",5.0,5236,415.0,high,1만-3만원대,음료/탄산음료,"사계절, 여름","음료를 자주 마시는 가정, 사무실 탕비실, 손님용 음료를 준비하는 사람","냉장고, 주방, 사무실 탕비실, 팬트리",집이나 사무실에 마실 음료를 박스 단위로 미리 준비하고 싶을 때,"개수와 가격만 보면 당류, 카페인, 보관 공간을 놓치기 쉬움",개수와 용량을 기준으로 비교하기 좋음,"제로, 소용량, 대용량처럼 선택 기준이 뚜렷함",가정용과 사무실용으로 쓰임이 분명함,"당류, 카페인, 보관 공간, 캔이나 페트 용량을 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","음료를 자주 마시는 가정, 사무실 탕비실, 손님용 음료를 준비하는 사람 기준으로 펩시 제로 슈거 고를 때 보기 쉬운 구매 전 체크","펩시 제로 슈거를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 냉장고, 주방, 사무실 탕비실, 팬트리 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"프로메가 오메가3 트리플 39.24g, 60정, 3개",프로메가 오메가3 트리플,https://www.coupang.com/vp/products/6586372374?itemId=19081002565,https://www.coupang.com/vp/products/6586372374?itemId=19081002565,,6586372374,19081002565,식품,"29,420원",53,"로켓배송, 내일도착",5.0,131500,415.0,high,1만-3만원대,건강/기능식품,사계절,"성분, 섭취량, 구성 수량을 구매 전에 확인하려는 사람","주방, 식탁, 사무실 서랍, 약 보관함",건강 관리를 위해 매일 챙길 식품이나 보조 제품을 고를 때,성분과 섭취 기준을 확인하지 않으면 내 상황에 맞는지 판단하기 어려움,성분과 1일 섭취량 확인이 중요함,수량과 섭취 기간을 비교하기 좋음,반복 구매 가능성이 있어 구성 확인이 필요함,"개인 건강 상태, 성분, 섭취 방법, 주의사항은 상세정보에서 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","성분, 섭취량, 구성 수량을 구매 전에 확인하려는 사람 기준으로 프로메가 오메가3 트리플 고를 때 보기 쉬운 구매 전 체크","프로메가 오메가3 트리플를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 주방, 식탁, 사무실 서랍, 약 보관함 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"레쓰비 마일드 캔커피, 175ml, 60개",레쓰비 마일드 캔커피,https://www.coupang.com/vp/products/8401714195?itemId=19067836855,https://www.coupang.com/vp/products/8401714195?itemId=19067836855,,8401714195,19067836855,식품,"19,900원",0,"로켓배송, 내일도착",5.0,168669,415.0,high,1만-3만원대,커피/음료,사계절,"사무실 탕비실, 자취방, 집에서 커피를 자주 마시는 사람","탕비실, 책상, 주방, 사무실 냉장고",집이나 사무실에서 커피를 자주 마셔서 넉넉한 구성을 미리 준비하고 싶을 때,"개수와 용량만 보고 고르면 당류, 카페인, 보관 공간을 놓치기 쉬움",개수 대비 가격과 소비 속도를 같이 보기 좋음,"사무실용, 집비치용처럼 사용 목적이 분명함",로켓배송과 대량 구성 확인 수요가 높은 편,"당류, 카페인, 유통기한, 보관 공간은 상세정보에서 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","사무실 탕비실, 자취방, 집에서 커피를 자주 마시는 사람 기준으로 레쓰비 마일드 캔커피 고를 때 보기 쉬운 구매 전 체크","레쓰비 마일드 캔커피를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 탕비실, 책상, 주방, 사무실 냉장고 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"제주 세척 무, 1개입, 3개",제주 세척 1개입,https://www.coupang.com/vp/products/6211497394?itemId=21248162593,https://www.coupang.com/vp/products/6211497394?itemId=21248162593,,6211497394,21248162593,식품,"5,170원",0,,4.5,36822,395.0,high,1만원 미만,신선식품,사계절,"장보는 시간을 줄이고 싶은 가정, 자취생, 신선식품을 자주 먹는 사람","냉장고, 주방, 식탁",신선한 과일이나 채소를 배송으로 받아보고 싶을 때,"중량, 신선도, 보관 기간을 확인하지 않으면 만족도가 달라질 수 있음",중량과 개수 확인이 구매 판단에 중요함,배송 후 바로 보관해야 하는 식품이라 관리 기준이 분명함,가정용 장보기 수요와 잘 맞음,"신선도, 중량, 보관법, 배송 상태 안내를 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","장보는 시간을 줄이고 싶은 가정, 자취생, 신선식품을 자주 먹는 사람 기준으로 제주 세척 1개입 고를 때 보기 쉬운 구매 전 체크","제주 세척 1개입를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 냉장고, 주방, 식탁 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"평창수 무라벨 생수, 500ml, 40개",평창수 무라벨 생수,https://www.coupang.com/vp/products/8157269016?itemId=20806562754,https://www.coupang.com/vp/products/8157269016?itemId=20806562754,,8157269016,20806562754,식품,"10,940원",31,"로켓배송, 내일도착",5.0,177556,415.0,high,1만-3만원대,생수/음료,"사계절, 여름","생수를 박스로 사두는 가정, 자취생, 사무실 탕비실 담당자","주방, 현관 옆 보관 공간, 사무실, 탕비실",생수를 매번 사러 가기 번거롭고 집이나 사무실에 미리 준비해두고 싶을 때,"용량과 개수, 보관 공간, 배송 무게를 같이 보지 않으면 주문 후 불편할 수 있음",반복 구매 수요가 높아 구성과 개수 비교가 중요함,500ml와 2L처럼 사용 상황에 따라 선택 기준이 분명함,무라벨 여부와 보관 편의성을 함께 판단하기 좋음,"박스 단위 무게, 보관 공간, 병 용량을 구매 전에 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","생수를 박스로 사두는 가정, 자취생, 사무실 탕비실 담당자 기준으로 평창수 무라벨 생수 고를 때 보기 쉬운 구매 전 체크","평창수 무라벨 생수를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 주방, 현관 옆 보관 공간, 사무실, 탕비실 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"동화약품 부채표 까스활 소화제, 75ml, 20개",동화약품 부채표 까스활,https://www.coupang.com/vp/products/7299647635?itemId=18774349285,https://www.coupang.com/vp/products/7299647635?itemId=18774349285,,7299647635,18774349285,식품,"15,190원",27,"로켓배송, 내일도착",5.0,77264,415.0,high,1만-3만원대,음료/탄산음료,"사계절, 여름","음료를 자주 마시는 가정, 사무실 탕비실, 손님용 음료를 준비하는 사람","냉장고, 주방, 사무실 탕비실, 팬트리",집이나 사무실에 마실 음료를 박스 단위로 미리 준비하고 싶을 때,"개수와 가격만 보면 당류, 카페인, 보관 공간을 놓치기 쉬움",개수와 용량을 기준으로 비교하기 좋음,"제로, 소용량, 대용량처럼 선택 기준이 뚜렷함",가정용과 사무실용으로 쓰임이 분명함,"당류, 카페인, 보관 공간, 캔이나 페트 용량을 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","음료를 자주 마시는 가정, 사무실 탕비실, 손님용 음료를 준비하는 사람 기준으로 동화약품 부채표 까스활 고를 때 보기 쉬운 구매 전 체크","동화약품 부채표 까스활를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 냉장고, 주방, 사무실 탕비실, 팬트리 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"에스앤비골든 카레 중간맛, 220g, 2개",에스앤비골든 카레 중간맛,https://www.coupang.com/vp/products/6568087462?itemId=24017216622,https://www.coupang.com/vp/products/6568087462?itemId=24017216622,,6568087462,24017216622,식품,"7,000원",0,"로켓배송, 내일도착",5.0,29456,405.0,high,1만원 미만,소스/조미료,사계절,"집밥을 자주 해먹는 가정, 자취생, 대용량 조미료를 찾는 사람","주방, 팬트리, 조리대 주변",집밥이나 반찬을 자주 만들 때 자주 쓰는 조미료를 미리 준비하고 싶을 때,"용량만 보고 고르면 보관 중 산패, 소비기한, 사용 빈도를 놓치기 쉬움",자주 쓰는 식재료라 용량 대비 가격 확인이 중요함,요리 빈도에 따라 대용량과 소용량 판단이 달라짐,보관 방식과 개봉 후 관리까지 같이 보기 좋음,"개봉 후 보관법, 소비기한, 용량, 원재료 표기를 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","집밥을 자주 해먹는 가정, 자취생, 대용량 조미료를 찾는 사람 기준으로 에스앤비골든 카레 중간맛 고를 때 보기 쉬운 구매 전 체크","에스앤비골든 카레 중간맛를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 주방, 팬트리, 조리대 주변 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"나랑드사이다 제로, 1.5L, 12개",나랑드사이다 제로 5L,https://www.coupang.com/vp/products/8180059688?itemId=18861958012,https://www.coupang.com/vp/products/8180059688?itemId=18861958012,,8180059688,18861958012,식품,"16,300원",14,"로켓배송, 내일도착",5.0,156047,415.0,high,1만-3만원대,음료/탄산음료,"사계절, 여름","음료를 자주 마시는 가정, 사무실 탕비실, 손님용 음료를 준비하는 사람","냉장고, 주방, 사무실 탕비실, 팬트리",집이나 사무실에 마실 음료를 박스 단위로 미리 준비하고 싶을 때,"개수와 가격만 보면 당류, 카페인, 보관 공간을 놓치기 쉬움",개수와 용량을 기준으로 비교하기 좋음,"제로, 소용량, 대용량처럼 선택 기준이 뚜렷함",가정용과 사무실용으로 쓰임이 분명함,"당류, 카페인, 보관 공간, 캔이나 페트 용량을 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","음료를 자주 마시는 가정, 사무실 탕비실, 손님용 음료를 준비하는 사람 기준으로 나랑드사이다 제로 5L 고를 때 보기 쉬운 구매 전 체크","나랑드사이다 제로 5L를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 냉장고, 주방, 사무실 탕비실, 팬트리 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
"탐사 샘물, 500ml, 60개",탐사 샘물 500ml,https://www.coupang.com/vp/products/7689270513?itemId=20972233905,https://www.coupang.com/vp/products/7689270513?itemId=20972233905,,7689270513,20972233905,식품,"11,790원",39,"로켓배송, 내일도착",5.0,328434,415.0,high,1만-3만원대,생수/음료,"사계절, 여름","생수를 박스로 사두는 가정, 자취생, 사무실 탕비실 담당자","주방, 현관 옆 보관 공간, 사무실, 탕비실",생수를 매번 사러 가기 번거롭고 집이나 사무실에 미리 준비해두고 싶을 때,"용량과 개수, 보관 공간, 배송 무게를 같이 보지 않으면 주문 후 불편할 수 있음",반복 구매 수요가 높아 구성과 개수 비교가 중요함,500ml와 2L처럼 사용 상황에 따라 선택 기준이 분명함,무라벨 여부와 보관 편의성을 함께 판단하기 좋음,"박스 단위 무게, 보관 공간, 병 용량을 구매 전에 확인해야 함",문제해결형 추천,"구매 전 용량, 구성, 보관, 소비 속도를 정리하는 체크리스트형","생수를 박스로 사두는 가정, 자취생, 사무실 탕비실 담당자 기준으로 탐사 샘물 500ml 고를 때 보기 쉬운 구매 전 체크","탐사 샘물 500ml를 실제 생활 공간에서 사용하는 한국형 라이프스타일 장면. 주방, 현관 옆 보관 공간, 사무실, 탕비실 배경, 자연광, 과한 광고 느낌 없는 현실적인 분위기.",제품 상세정보와 현재 가격은 아래 링크에서 바로 확인 가능,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.",로켓배송>식품,식품,,,,,
